crop_category,soil_category,rainfall_category,Pathway,NH4_load,P_load
6.0,1,1,1,1.0335520623772726e-06,4.843640064699732e-07
6.0,1,2,0,,2.96212549081996e-08
6.0,1,2,1,1.4231373524052864e-06,7.320123617743027e-07
6.0,1,3,0,,3.56419691934014e-07
6.0,1,3,1,2.2604770714303835e-06,1.329707472493772e-06
6.0,1,4,0,,9.66387774913649e-07
6.0,1,4,1,3.536072814401314e-06,2.1810587107256456e-06
6.0,1,5,0,,2.05390922305093e-06
6.0,1,5,1,6.9086404108839365e-06,4.318120488211978e-06
6.0,2,0,0,,2.11096893006112e-06
6.0,2,0,1,6.483653160287435e-07,3.0159835924732026e-07
6.0,2,1,0,,5.22521844072193e-11
6.0,2,1,1,5.896261604586247e-07,2.722372887993989e-07
6.0,2,2,0,,5.956374425321895e-06
6.0,2,2,1,8.012294383024517e-07,4.021925948588973e-07
6.0,2,3,0,,3.64047288523616e-07
6.0,2,3,1,1.2510304263856069e-06,3.0946533960677437e-06
6.0,2,4,0,,1.0118168464357e-06
6.0,2,4,1,1.5014213029335916e-06,9.897192629387298e-07
6.0,2,5,0,,2.017462492167752e-06
6.0,2,5,1,3.179051152046947e-06,2.11096893006112e-06
7.0,0,0,0,,2.1671317816874e-06
7.0,0,0,1,1.4540884786481756e-05,1.6066391924530642e-06
7.0,0,1,0,,3.0095202885609705e-06
7.0,0,1,1,1.3305645338004623e-05,7.114492361667273e-06
7.0,0,2,0,,4.42963694079521e-06
7.0,0,2,1,3.05413419742393e-05,3.1324537544248834e-06
7.0,0,3,0,,6.6137398906799e-06
7.0,0,3,1,4.416256397425753e-05,4.4267231773145135e-06
7.0,0,4,0,,2.355770718480491e-05
7.0,0,4,1,6.38687828019239e-05,6.100844595694146e-06
7.0,0,5,0,,1.52648154535116e-05
7.0,0,5,1,0.000123344546479,1.088561001939932e-05
7.0,1,0,0,6.752426900926212e-05,3.671662601409624e-06
7.0,1,0,1,2.2534609381140022e-05,2.416135307433488e-06
7.0,1,1,0,8.963455202967443e-05,4.850606445588832e-06
7.0,1,1,1,1.8781863661356708e-05,2.009841489867461e-06
7.0,1,2,0,0.000121051414899,6.790728841856933e-06
7.0,1,2,1,3.330563827856364e-05,3.45172249491783e-06
7.0,1,3,0,0.0001869239711786,1.0615061364533667e-05
7.0,1,3,1,5.646419848189001e-05,5.58102273569399e-06
7.0,1,4,0,0.0002744534185531,1.583766266589089e-05
7.0,1,4,1,7.80038365407619e-05,7.348831130356618e-06
7.0,1,5,0,0.0003588915459086,2.219616345083248e-05
7.0,1,5,1,0.000151332351912,1.3349383933275988e-05
7.0,2,0,0,0.0001147698540836,5.067383021134893e-06
